,100_jobs_mean,100_jobs_std,200_jobs_mean,200_jobs_std,300_jobs_mean,300_jobs_std,400_jobs_mean,400_jobs_std,500_jobs_mean,500_jobs_std
MAIN,0.3177907034910723,0.012012306646745272,0.4125120114679741,0.04764769005090593,0.508953309606023,0.08598094899920157,0.5650344030523899,0.05421668336469738,0.662813082235974,0.059250018608526626
CASSINI,1.4000494432201007,0.06670565828115228,1.9939308448371216,0.04128410133156989,2.422336089046767,0.053056490793314585,2.665334712591523,0.04098522208843447,2.9264365511408674,0.03884286950372937
SJF,3.288525358601247,6.704586110243963e-07,3.5529543058535022,0.0020779424527534326,4.028845268822213,5.837189643090081e-07,4.320167027550498,0.0006080168029101546,4.407513591234384,0.00039729722768135854
LAS,3.024396199854671,0.008159641429494246,3.466458280840884,0.0010245472839458657,3.8810125389464147,0.0032773387634737272,4.15148447492597,0.0017607479112633352,4.363648875863558,0.00090225821402806
HRRN,2.861465472130575,0.005418536539752968,3.4721047592386176,0.000859886063819741,3.888116113400004,0.0016724751652024959,4.167135540066132,0.001378628823934928,4.364605597310655,0.0005712859615225203
FCFS,3.5284717285991025,0.0067072907856304195,4.201200082190768,0.008787523069242303,4.602933943978884,0.009101511776630444,4.890430527722952,0.004822439619754774,5.1122323576049915,0.004575015461818622
